artist_name,birthday,country,startyear
Miami Sound Machine,NA,United States,1975
Juan Luis Guerra 4.40,6/7/1957,NA,1984
Los Fabulosos Cadillacs,NA,Foreign,1985
Selena,4/16/1971,NA,1981
J Balvin,5/7/1985,NA,2004
Aventura,NA,Foreign,1994
Jennifer Lopez,7/24/1969,NA,1986
Tito Puente,4/20/1923,NA,1946
Luis Fonsi,4/15/1978,United States,1998
Gipsy Kings,NA,Foreign,1978
Rubén Blades,7/16/1948,NA,1974
Daddy Yankee,2/3/1976,NA,1992
Pérez Prado,12/11/1916,NA,1933
Soda Stereo,NA,Foreign,1982
Los Del Rio,NA,United States,1962
Los Lobos,NA,United States,1973
Juan Gabriel,1/7/1950,Foreign,1971
Santana,NA,United States,1966
Café Tacvba,NA,Foreign,1989
Alejandro Sanz,12/18/1968,NA,1989
Ricky Martin,12/24/1971,NA,1984
Joe Arroyo,11/1/1955,NA,1969
Silvio Rodríguez,11/29/1946,Foreign,1967
Rocío Dúrcal,NA,NA,NA
Consuelo Velázquez,NA,NA,NA
Sergio Mendes & Brasil '66,NA,NA,NA
Héctor Lavoe,9/30/1946,NA,1965
Buena Vista Social Club,NA,NA,1996
Roberto Carlos,4/19/1941,Foreign,1951
Stan Getz,2/2/1927,NA,1943
Maná,NA,Foreign,1986
Calle 13,NA,Foreign,2004
Julio Iglesias,9/23/1943,NA,NA
Joan Manuel Serrat,12/27/1943,Foreign,1965
Violeta Parra,10/4/1917,NA,1939
Gerardo Matos Rodriguez,NA,NA,1917
Lola Beltrán,3/7/1932,NA,1947
José Alfredo Jimenez,1/19/1926,NA,NA
José Feliciano,9/10/1945,NA,1962
Jimi Hendrix,11/27/1942,NA,1963
The Who,NA,Foreign,1964
The Rolling Stones,NA,Foreign,1962
The Doors,NA,United States,1965
Led Zeppelin,NA,Foreign,1968
The Beatles,NA,Foreign,1960
Cream,NA,Foreign,1966
The Kinks,NA,United States,1963
The Beach Boys,NA,United States,1961
Roy Orbison,4/23/1936,NA,1953
Buffalo Springfield,NA,United States,1966
Creedence Clearwater Revival,NA,United States,1959
Steppenwolf,NA,United States,1967
The Animals,NA,Foreign,1963
The Kingsmen,NA,United States,1959
Marvin Gaye,4/2/1939,NA,1957
Tommy James & The Shondells,4/29/1947,United States,1959
The Mamas & The Papas,NA,NA,NA
Bob Dylan,5/24/1941,NA,1961
"Crosby, Stills & Nash",NA,NA,NA
The Byrds,NA,United States,1964
Simon & Garfunkel,NA,NA,NA
Booker T. & the M.G.'s,NA,NA,NA
Neil Diamond,1/24/1941,NA,1962
The Young Rascals,NA,United States,1965
Chubby Checker,10/3/1941,United States,1959
Ray Charles,9/23/1930,NA,1947
Blue Cheer,NA,United States,1966
Dion,7/18/1939,NA,1957
Ike & Tina Turner,1890-10-14,NA,1915
The Lovin' Spoonful,NA,United States,1965
Jefferson Airplane,NA,United States,1965
The Chambers Brothers,NA,Foreign,1954
The Yardbirds,NA,Foreign,1963
Count Five,NA,United States,1964
The Moody Blues,NA,Foreign,1964
David Bowie,1/8/1947,NA,1962
The Searchers,NA,NA,NA
The Band,NA,United States,1968
Sam Cooke,1/22/1931,United States,1951
The Miracles,NA,United States,1955
The Bobby Fuller Four,NA,United States,1962
Van Morrison,8/31/1945,NA,1958
Jan & Dean,NA,NA,NA
Deep Purple,NA,Foreign,1968
The Spencer Davis Group,NA,Foreign,1963
Them,NA,NA,NA
Small Faces,NA,Foreign,1965
The Troggs,NA,Foreign,1964
The Zombies,NA,Foreign,1961
Pink Floyd,NA,Foreign,1965
Love,NA,NA,NA
The 13th Floor Elevators,NA,United States,1965
The Electric Prunes,NA,United States,1965
? & The Mysterians,NA,NA,NA
The Sonics,NA,United States,1960
MC5,NA,United States,1964
The Monks,NA,United States,1964
The Stooges,NA,United States,1967
The Velvet Underground,NA,United States,1964
The Surfaris,NA,United States,1962
Extreme,NA,United States,1985
Tom Petty,10/20/1950,NA,1967
Fleetwood Mac,NA,Foreign,1967
Bill Withers,7/4/1938,NA,1967
Eagles,NA,United States,1971
Tracy Chapman,3/30/1964,NA,1986
Carly Simon,6/25/1945,NA,1964
Kansas,NA,NA,NA
Faces,NA,Foreign,1969
James Taylor,3/12/1948,NA,1966
Bob Marley & The Wailers,2/6/1945,NA,1962
Bruce Springsteen,9/23/1949,NA,1964
Neil Young,11/12/1945,Foreign,1963
Dolly Parton,1/19/1946,NA,1956
Elton John,3/25/1947,NA,1962
Phil Collins,1/30/1951,NA,1963
Chris Isaak,6/26/1956,NA,1978
Leonard Cohen,9/21/1934,NA,1955
George Harrison,2/25/1943,NA,1958
America,NA,NA,NA
Rod Stewart,1/10/1945,NA,1961
Paul Simon,10/13/1941,United States,1956
Carole King,2/9/1942,NA,1958
Janis Joplin,1/19/1943,NA,1962
Gordon Lightfoot,11/17/1938,NA,1958
Nick Drake,6/19/1948,NA,1967
Jim Croce,1/10/1943,NA,1966
Johnny Cash,2/26/1932,NA,NA
Yusuf / Cat Stevens,7/21/1948,NA,1965
Joni Mitchell,11/7/1943,NA,1964
John Lennon,10/9/1940,NA,1956
Paul McCartney,6/18/1942,NA,1957
Suzanne Vega,7/11/1959,United States,1982
Commodores,NA,United States,1968
Joe Cocker,5/20/1944,NA,1961
Depeche Mode,NA,Foreign,1980
Kate Bush,7/30/1958,NA,1975
Stealers Wheel,NA,Foreign,1972
"Grover Washington, Jr.",12/12/1943,NA,1967
"Crosby, Stills, Nash & Young",NA,United States,1968
Peter Frampton,4/22/1950,NA,1966
Peter Gabriel,2/13/1950,NA,1967
Emmylou Harris,4/2/1947,NA,1969
Karen Dalton,7/19/1937,NA,1960
Chicago,NA,NA,NA
Grateful Dead,NA,United States,1965
Linda Ronstadt,7/15/1946,NA,1967
Queen,NA,Foreign,1970
The Clash,NA,Foreign,1976
KISS,NA,United States,1973
Aerosmith,NA,United States,1970
The Police,NA,Foreign,1977
AC/DC,NA,United States,1973
T. Rex,NA,NA,NA
Lynyrd Skynyrd,NA,United States,1964
Eric Clapton,3/30/1945,NA,1962
Ramones,NA,United States,1974
Cheap Trick,NA,United States,1973
Manfred Mann's Earth Band,NA,Foreign,1971
Tom Petty and the Heartbreakers,NA,United States,1976
Derek & The Dominos,NA,NA,NA
The Cars,NA,United States,1976
Sex Pistols,NA,Foreign,1975
Don McLean,10/2/1945,NA,1964
Jethro Tull,NA,Foreign,1967
Black Sabbath,NA,Foreign,1968
Thin Lizzy,NA,Foreign,1969
Steve Miller Band,NA,United States,1966
Lou Reed,3/2/1942,United States,1958
The Guess Who,NA,Foreign,1965
Blue Öyster Cult,NA,United States,1967
Jackson Browne,10/9/1948,United States,1966
Dire Straits,NA,Foreign,1977
Bachman-Turner Overdrive,NA,Foreign,1973
Yes,NA,Foreign,1968
The Allman Brothers Band,NA,United States,1969
Blondie,NA,United States,1974
The Knack,NA,United States,1978
Eddie Money,3/21/1949,Foreign,1974
Van Halen,NA,United States,1974
Rush,NA,Foreign,1968
Mott The Hoople,NA,Foreign,1969
Free,NA,NA,NA
Heart,NA,NA,NA
Sweet,NA,Foreign,1968
Ram Jam,NA,United States,1977
Ted Nugent,12/13/1948,NA,1964
Bad Company,NA,Foreign,1973
ZZ Top,NA,United States,1969
The Doobie Brothers,NA,United States,1970
Boston,NA,NA,NA
Styx,NA,United States,1972
Supertramp,NA,Foreign,1970
Genesis,NA,Foreign,1967
Steely Dan,NA,United States,1971
Joe Walsh,11/20/1947,NA,1964
Electric Light Orchestra,NA,Foreign,1970
Meat Loaf,9/27/1947,NA,1968
Guns N' Roses,NA,United States,1985
Scorpions,NA,Foreign,1965
Mötley Crüe,NA,United States,1981
Def Leppard,NA,Foreign,1977
Whitesnake,NA,Foreign,1978
Ozzy Osbourne,12/3/1948,NA,1967
Bon Jovi,NA,United States,1983
Winger,NA,United States,1987
Cinderella,NA,NA,NA
Dio,NA,United States,1982
Ratt,NA,United States,1976
Quiet Riot,NA,United States,1973
Europe,NA,NA,NA
Lita Ford,9/19/1958,United States,1975
Poison,NA,United States,1983
Great White,NA,United States,1977
Loverboy,NA,Foreign,1979
Twisted Sister,NA,United States,1972
Warrant,NA,United States,1984
Y&T,NA,NA,NA
Skid Row,NA,NA,NA
Dokken,NA,United States,1979
Alice Cooper,2/4/1948,United States,1964
Mr. Big,NA,United States,1988
XYZ,NA,NA,NA
W.A.S.P.,NA,NA,NA
White Lion,NA,United States,1983
Gary Moore,4/4/1952,NA,1968
Michael Schenker Group,NA,Foreign,1979
Rainbow,NA,NA,NA
Vixen,NA,United States,1980
Queensrÿche,NA,United States,1980
Joan Jett & The Blackhearts,NA,NA,NA
Survivor,NA,NA,NA
Tesla,NA,NA,NA
Slaughter,NA,United States,1988
Damn Yankees,NA,United States,1989
Judas Priest,NA,Foreign,1969
Night Ranger,NA,United States,1979
Motörhead,NA,Foreign,1975
Kix,NA,United States,1977
Firehouse,NA,United States,1989
Journey,NA,United States,1973
Faster Pussycat,NA,United States,1985
David Lee Roth,10/10/1954,NA,1972
Air Supply,NA,United States,1975
Debbie Gibson,8/31/1970,NA,1986
REO Speedwagon,NA,United States,1967
Peabo Bryson,4/13/1951,NA,1965
Lionel Richie,6/20/1949,NA,1968
Bad English,NA,United States,1987
Kenny Rogers,8/21/1938,NA,1956
Glenn Frey,11/6/1948,NA,1966
New Kids On The Block,NA,United States,1985
Christopher Cross,5/3/1951,NA,1971
George Benson,3/22/1943,NA,1954
Spandau Ballet,NA,Foreign,1979
Starship,NA,NA,NA
Bryan Adams,11/5/1959,NA,1975
a-ha,NA,Foreign,1982
Foreigner,NA,United States,1976
George Michael,6/25/1963,NA,1981
Barbra Streisand,4/24/1942,NA,1960
Roxette,NA,Foreign,1986
Peter Cetera,9/13/1944,NA,1962
Berlin,NA,NA,NA
Dave Grusin,6/26/1934,NA,1962
Chris de Burgh,10/15/1948,Foreign,1974
Cyndi Lauper,6/22/1953,NA,1977
Paul Young,1/17/1956,NA,1978
Bonnie Tyler,6/8/1951,NA,1969
Richard Marx,9/16/1963,United States,1980
Simply Red,NA,Foreign,1985
The Bangles,NA,United States,1981
Cutting Crew,NA,Foreign,1985
Michael Bolton,2/26/1953,NA,1975
Billy Idol,11/30/1955,NA,1973
INXS,NA,United States,1977
Prince,6/7/1958,NA,1975
Run–D.M.C.,NA,United States,1983
A Flock Of Seagulls,NA,Foreign,1979
Talking Heads,NA,United States,1975
The Smiths,NA,Foreign,1982
The Cure,NA,United States,1978
R.E.M.,NA,United States,1980
Jane's Addiction,NA,United States,1985
Duran Duran,NA,Foreign,1978
Men Without Hats,NA,Foreign,1977
Pet Shop Boys,NA,Foreign,1981
Dead Or Alive,NA,Foreign,1980
Tears For Fears,NA,Foreign,1981
Soft Cell,NA,Foreign,1978
Metallica,NA,United States,1981
Rick Springfield,8/23/1949,NA,1962
Dexys Midnight Runners,NA,Foreign,1978
Beastie Boys,NA,United States,1981
Joy Division,NA,Foreign,1976
Frankie Goes To Hollywood,NA,Foreign,1980
New Order,NA,Foreign,1980
Simple Minds,NA,Foreign,1977
Don Henley,7/22/1947,United States,1970
Robert Palmer,1/19/1949,NA,1964
Iron Maiden,NA,Foreign,1975
Iggy Pop,4/21/1947,United States,1960
The Cult,NA,Foreign,1983
Echo & the Bunnymen,NA,NA,NA
Pixies,NA,United States,1986
DEVO,NA,United States,1973
Nirvana,NA,United States,1987
Sonic Youth,NA,United States,1981
The Buggles,NA,Foreign,1977
Fugazi,NA,United States,1986
Hüsker Dü,NA,United States,1979
Faith No More,NA,United States,1979
Pretenders,NA,Foreign,1978
Toto,NA,United States,1977
Eurythmics,NA,Foreign,1980
Daryl Hall & John Oates,NA,NA,NA
Whitney Houston,8/9/1963,NA,1977
Billy Joel,5/9/1949,United States,1964
Kenny Loggins,1/7/1948,NA,1968
The Pointer Sisters,NA,United States,1970
Aretha Franklin,3/25/1942,United States,1960
Men At Work,NA,United States,1978
Wham!,NA,United States,1981
Rick Astley,2/6/1966,NA,1985
The Outfield,NA,Foreign,1984
Nena,3/24/1960,NA,1979
The Romantics,NA,Foreign,1977
Rockwell,3/15/1964,NA,1983
Billy Ocean,1/21/1950,Foreign,1969
Bill Medley,9/19/1940,NA,1959
Matthew Wilder,1/24/1953,NA,1972
Midnight Oil,NA,United States,1972
Pat Benatar,1/10/1953,NA,1972
Deniece Williams,6/3/1951,NA,1968
Thompson Twins,NA,Foreign,1977
Steve Perry,1/22/1949,NA,1970
Bow Wow Wow,NA,Foreign,1980
"Ray Parker, Jr.",5/1/1954,NA,1963
The Jacksons,NA,United States,1965
The Notorious B.I.G.,5/21/1972,NA,1992
2Pac,6/16/1971,United States,1987
Public Enemy,NA,United States,1985
Craig Mack,5/10/1970,NA,1988
Missy Elliott,7/1/1971,NA,1991
Nas,9/14/1973,Foreign,1989
Naughty By Nature,NA,United States,1986
Dr. Dre,2/18/1965,NA,1985
Coolio,8/1/1963,United States,1987
Snoop Dogg,10/20/1971,NA,1992
Lil' Kim,NA,NA,1994
Digital Underground,NA,United States,1987
Big Daddy Kane,9/10/1968,NA,1987
House Of Pain,NA,United States,1991
Busta Rhymes,NA,NA,1994
Diddy,11/4/1969,NA,1988
Wreckx-N-Effect,NA,United States,1988
Makaveli,NA,NA,NA
Luniz,NA,United States,1994
Queen Latifah,3/18/1970,NA,1989
LL Cool J,1/14/1968,United States,1984
Geto Boys,NA,United States,1986
Mobb Deep,NA,United States,1991
The Pharcyde,NA,Foreign,1989
Wu-Tang Clan,NA,United States,1992
A Tribe Called Quest,NA,United States,1985
Snow,NA,NA,NA
Fugees,NA,United States,1992
Faith Evans,6/10/1973,NA,1994
Mase,8/27/1975,United States,1993
Cypress Hill,NA,United States,1988
Sir Mix-A-Lot,8/12/1963,United States,1979
Bell Biv DeVoe,NA,United States,1989
MC Hammer,3/30/1962,NA,1985
Arrested Development,NA,NA,NA
Total,NA,NA,NA
112,NA,United States,1993
Mark Morrison,5/3/1972,Foreign,1993
Biz Markie,4/8/1964,United States,1985
Ol' Dirty Bastard,11/15/1968,NA,1990
Jermaine Dupri,9/23/1972,United States,1984
Candyman,NA,NA,NA
Will Smith,9/25/1968,United States,1986
Wyclef Jean,10/17/1969,NA,1989
Digable Planets,NA,United States,1987
TLC,NA,United States,1990
Ms. Lauryn Hill,5/26/1975,NA,1988
DJ Jazzy Jeff & The Fresh Prince,1/22/1965,NA,1986
Pras,10/19/1972,United States,1989
Kris Kross,NA,United States,1991
Blackstreet,NA,United States,1993
Big Pun,11/10/1971,NA,1995
Skee-Lo,3/27/1975,United States,1994
Warren G,11/10/1970,NA,1992
Heavy D & The Boyz,NA,NA,NA
Method Man,3/2/1971,United States,1992
Ice Cube,6/15/1969,NA,1986
Da Brat,4/14/1974,NA,1992
Erykah Badu,2/26/1971,NA,1994
Natalie Imbruglia,2/4/1975,NA,1992
Oasis,NA,Foreign,1991
Radiohead,NA,Foreign,1985
Shawn Colvin,1/10/1956,United States,1973
Mazzy Star,NA,United States,1988
Jeff Buckley,11/17/1966,NA,1990
The Verve,NA,Foreign,1990
Third Eye Blind,NA,United States,1993
The Goo Goo Dolls,NA,United States,1986
Counting Crows,NA,United States,1991
Jewel,5/23/1974,NA,1994
The Cranberries,NA,Foreign,1989
No Doubt,NA,United States,1986
Eagle-Eye Cherry,5/7/1968,Foreign,1990
Bush,7/6/1946,NA,1968
The Verve Pipe,NA,United States,1992
Beck,7/8/1970,NA,1985
The Smashing Pumpkins,NA,United States,1988
Matchbox Twenty,NA,United States,1995
Everlast,8/18/1969,United States,1989
Stone Temple Pilots,NA,United States,1989
Seal,NA,NA,NA
Alanis Morissette,6/1/1974,NA,1986
Soundgarden,NA,United States,1984
Dave Matthews Band,NA,United States,1991
Sublime,NA,United States,1988
Tal Bachman,8/13/1968,Foreign,1992
Alison Krauss & Union Station,7/23/1971,Foreign,1984
Paula Cole,4/5/1968,United States,1992
Marcy Playground,NA,United States,1994
The Cardigans,NA,Foreign,1992
Natalie Merchant,10/26/1963,NA,1981
Pearl Jam,NA,United States,1990
Sister Hazel,NA,United States,1993
Sinéad O'Connor,12/8/1966,NA,1986
"10,000 Maniacs",NA,United States,1981
Ani DiFranco,9/23/1970,NA,1989
Aimee Mann,9/8/1960,NA,1982
The Wallflowers,NA,United States,1989
Sheryl Crow,2/11/1962,United States,1986
Faith Hill,NA,NA,1993
The Black Crowes,NA,United States,1984
Dixie Chicks,NA,United States,1989
Billy Bragg,12/20/1957,NA,1977
Gillian Welch,10/2/1967,Foreign,NA
Neutral Milk Hotel,NA,United States,1989
Spin Doctors,NA,United States,1988
Semisonic,NA,United States,1995
Gin Blossoms,NA,United States,1987
The Proclaimers,3/5/1962,Foreign,1983
Better Than Ezra,NA,United States,1988
Tonic,NA,NA,NA
New Radicals,NA,United States,1997
The Presidents Of The United States Of America,NA,NA,NA
Sugar Ray,NA,United States,1986
Toad The Wet Sprocket,NA,United States,1986
Harvey Danger,NA,United States,1992
James,NA,NA,NA
Live,NA,United States,1984
Lit,NA,United States,1988
Spacehog,NA,United States,1994
Duncan Sheik,11/18/1969,NA,1993
Fastball,NA,United States,1995
Vertical Horizon,NA,United States,1991
Paul Westerberg,12/31/1959,NA,1979
Blind Melon,NA,United States,1990
Jamiroquai,NA,Foreign,1992
The Flys,NA,United States,1994
Feeder,NA,NA,NA
4 Non Blondes,NA,United States,1989
Fuel,NA,NA,NA
OMC,NA,Foreign,1992
Soul Asylum,NA,United States,1981
Supergrass,NA,Foreign,1993
Jesus Jones,NA,Foreign,1988
Evan And Jaron,3/18/1974,United States,NA
Barenaked Ladies,NA,Foreign,1988
Rusted Root,NA,United States,1990
Belly,NA,NA,NA
Oleander,NA,NA,NA
O.A.R.,NA,United States,1996
EMF,NA,Foreign,1989
Stroke 9,NA,United States,1989
Wheatus,NA,United States,1995
The Offspring,NA,United States,1984
Smash Mouth,NA,United States,1994
Nine Days,NA,United States,1994
Del Amitri,NA,Foreign,1980
Blessid Union Of Souls,NA,United States,1990
Eve 6,NA,United States,1995
Violent Femmes,NA,United States,1980
The Breeders,NA,United States,1989
The Lemonheads,NA,United States,1986
Crash Test Dummies,NA,Foreign,1988
Everclear,NA,United States,1991
Collective Soul,NA,United States,1992
Blues Traveler,NA,United States,1987
Shawn Mullins,3/8/1968,NA,1990
Deep Blue Something,NA,United States,1991
Dishwalla,NA,United States,1993
Our Lady Peace,NA,Foreign,1992
Garbage,NA,United States,1993
Cake,NA,NA,NA
The Mighty Mighty Bosstones,NA,United States,1983
Candlebox,NA,United States,1990
Weezer,NA,United States,1992
Sixpence None The Richer,NA,United States,1992
Indigo Girls,NA,United States,1985
Tom Cochrane,5/14/1953,NA,1973
Deadeye Dick,NA,United States,1991
The Flaming Lips,NA,United States,1983
Ugly Kid Joe,NA,United States,1987
Dog's Eye View,NA,Foreign,NA
Marvelous 3,NA,United States,1997
Citizen King,NA,United States,1993
Primitive Radio Gods,NA,United States,1985
Local H,NA,United States,1990
Lenny Kravitz,5/26/1964,NA,1981
Blur,NA,Foreign,1988
Rage Against The Machine,NA,United States,1991
Placebo,NA,NA,NA
Hole,NA,NA,NA
Nine Inch Nails,NA,United States,1988
Skunk Anansie,NA,Foreign,1994
Alice In Chains,NA,United States,1987
Temple Of The Dog,NA,United States,1990
Silverchair,NA,United States,1992
Nada Surf,NA,United States,1990
Jess Glynne,10/20/1989,NA,2013
Passenger,5/17/1984,NA,2003
Mumford & Sons,NA,Foreign,2007
The Coral,NA,Foreign,1996
Ariana Grande,6/26/1993,NA,2008
Jason Mraz,6/23/1977,NA,1999
Adele,5/5/1988,NA,2006
Joel Adams,12/16/1996,NA,2012
Lukas Graham,NA,Foreign,2011
Rita Ora,11/26/1990,NA,2008
Stevie Wonder,5/13/1950,NA,1961
Kodaline,NA,Foreign,2005
Charlie Puth,12/2/1991,NA,2009
Take That,NA,Foreign,1990
Dobie Gray,7/26/1940,NA,1960
George Ezra,6/7/1993,NA,2013
MKTO,NA,United States,2010
Michael Bublé,9/9/1975,NA,1995
Birdy,5/15/1996,NA,2008
The Kooks,NA,Foreign,2004
Taylor Swift,12/13/1989,United States,2004
You Me At Six,NA,Foreign,2004
JP Cooper,11/1/1983,NA,2012
Noah And The Whale,NA,Foreign,2006
Bruce Hornsby,11/23/1954,NA,1974
Elle King,7/3/1989,United States,1998
The Jackson 5,NA,United States,1965
Gavin James,7/5/1991,NA,2013
Maggie Rogers,4/25/1994,NA,2012
Josh Gray,9/9/1993,NA,NA
All Saints,NA,Foreign,1993
"Earth, Wind & Fire",NA,United States,1969
Jon Allen,NA,Foreign,NA
Paloma Faith,7/21/1981,NA,2007
The Real Thing,NA,NA,NA
The Black Eyed Peas,NA,United States,1995
Causes,NA,NA,NA
Gabrielle,7/19/1969,NA,1992
Tom Speight,NA,NA,NA
Kylie Minogue,5/28/1968,NA,1979
Naya,1/12/1987,NA,1991
Hudson Thames,4/23/1969,NA,1981
Maroon 5,NA,United States,1994
Noisettes,NA,Foreign,2003
Wild Youth,NA,NA,NA
Great Good Fine Ok,NA,United States,2013
Tim Halperin,NA,Foreign,2007
Keane,NA,United States,1995
Claire Richards,8/17/1977,NA,1995
Ward Thomas,NA,Foreign,2014
Blossoms,NA,Foreign,2013
Franc Moody,8/27/1900,NA,NA
Lily Allen,5/2/1985,NA,1998
Amy Macdonald,8/25/1987,Foreign,2007
Sophie Ellis-Bextor,4/10/1979,NA,1997
Hues Corporation,NA,United States,1969
Jonas Blue,8/2/1989,Foreign,2015
Tom Odell,11/24/1990,NA,2012
Tim Atlas,NA,NA,NA
RØMANS,1/10/1974,NA,1992
Nile Rodgers,9/19/1952,NA,1972
Olly Murs,5/14/1984,NA,2009
Kodak Black,6/11/1997,NA,2009
Kings,NA,NA,NA
Quavo,4/2/1991,NA,2008
Lil Baby,12/3/1994,NA,2016
Aminé,NA,NA,NA
Manu Crooks,5/22/1993,United States,NA
Sheck Wes,9/10/1998,NA,2017
Eminem,10/17/1972,United States,1988
The Kid Laroi,8/17/2003,NA,2015
Lil Wayne,9/27/1982,United States,1995
Kanye West,6/8/1977,United States,1996
Lil Peep,11/1/1996,United States,2014
